Date,Open,High,Low,Close
6/26/21,0.2492,0.255,0.231,0.2368
6/27/21,0.24,0.2531,0.2392,0.2424
6/28/21,0.2424,0.2671,0.242,0.2584
6/29/21,0.2584,0.2753,0.2527,0.2649
6/30/21,0.2649,0.2681,0.2381,0.2515
7/1/21,0.2515,0.2603,0.2386,0.2443
7/2/21,0.2446,0.2486,0.2386,0.2418
7/3/21,0.2418,0.25,0.2415,0.2479
7/4/21,0.2479,0.2524,0.2437,0.2491
7/5/21,0.2491,0.2504,0.2269,0.2334
7/6/21,0.2334,0.242,0.2296,0.2312
7/7/21,0.2312,0.2384,0.2292,0.2314
7/8/21,0.2314,0.2314,0.2067,0.209
7/9/21,0.2089,0.2293,0.196,0.2204
